Symbol;Firmenname
ADS.DE;adidas AG
AIR.DE;Airbus SE
ALV.DE;Allianz SE
BAS.DE;BASF SE
BAYN.DE;Bayer Aktiengesellschaft
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft
BNR.DE;Brenntag SE
BEI.DE;Beiersdorf Aktiengesellschaft
CON.DE;Continental Aktiengesellschaft
1COV.DE;Covestro AG
DHER.DE;Delivery Hero SE
DBK.DE;Deutsche Bank AG
DB1.DE;Deutsche Boerse AG
DPW.DE;Deutsche Post AG
DTE.DE;Deutsche Telekom AG
EON.BR;E.ON SE
FME.DE;Fresenius Medical Care AG & Co. KGaA
FRE.DE;Fresenius SE & Co. KGaA
HEI.DE;HeidelbergCement AG
HFG.DE;HelloFresh SE
HEN3.DE;Henkel AG & Co. KGaA 
IFX.DE;Infineon Technologies AG
LIN.DE;Linde plc
MBG.DE;Mercedes-Benz Group 
MRK.DE;MERCK Kommanditgesellschaft auf Aktien
MTX.DE;MTU Aero Engines AG
MUV2.DE;Münchner Rückversicherungs-Gesellschaft
POAHY;Porsche
PUM.DE;PUMA SE
QIA.DE;Qiagen
RWE.DE;RWE AG
SAP.DE;SAP
SRT3.DE;Sartorius AG
SIE.DE;Siemens Aktiengesellschaft
ENR.DE;Siemens Energy AG
SHL.DE;Siemens Healthineers AG
SY1.DE;Symrise AG
VOW3.DE;Volkswagen AG
VNA.DE;Vonovia
ZAL.DE;Zalando SE
